bird,dimensions,Shifted RL,Shifted KL,RL,KL,precision,recall,f1,hopkins,hopkins_std,silhouette,DaviesBouldin,CalinskiHarabasz,clusteringCoef,clusteringCoefMean
7358,8,0.003271,0.000292,0.003843,0.000289,0.933266,0.861198,0.891376,0.84281,0.756481,0.263642,1.586813,1290.470788,0.303344,0.966573
7358,16,0.002686,0.000281,0.003193,0.000278,0.932609,0.860614,0.889971,0.798176,0.718328,0.212908,1.764366,772.86851,0.208775,0.977133
7358,20,0.002581,0.000273,0.00309,0.000271,0.934551,0.867613,0.894869,0.795724,0.711441,0.193367,1.882662,693.281689,0.191451,0.979981
7358,32,0.00226,0.000261,0.002734,0.000259,0.934551,0.87014,0.895939,0.787716,0.689066,0.167943,1.974967,537.706436,0.144541,0.987074
7358,45,0.002196,0.000257,0.002674,0.000255,0.937933,0.876166,0.901346,0.794929,0.700456,0.188982,2.003276,541.168499,0.12684,0.988093
7358,64,0.002175,0.000247,0.002657,0.000246,0.93658,0.872084,0.898049,0.797813,0.70909,0.181525,1.996831,561.870652,0.105824,0.986696
7358,128,0.002125,0.000214,0.002603,0.000214,0.937526,0.877333,0.901743,0.803135,0.713272,0.194684,1.998892,509.383097,0.077611,0.989982
,,,,,,,,,,,,,,,
6951,8,0.004767,0.000308,0.005392,0.000307,0.768378,0.620872,0.670238,0.830232,0.708885,-0.038568,3.771874,635.636514,0.296152,0.985157
6951,16,0.003846,0.000289,0.004429,0.000288,0.758532,0.64498,0.682352,0.78766,0.660879,-0.005849,3.998722,414.640698,0.204603,0.990425
6951,20,0.003597,0.000279,0.004175,0.000279,0.756261,0.649384,0.684984,0.777725,0.655262,0.019385,4.027219,362.739246,0.18356,0.991484
6951,32,0.003099,0.000277,0.003648,0.000276,0.755615,0.6583,0.690685,0.763525,0.642125,-0.007092,4.137619,301.398065,0.145695,0.994512
6951,45,0.002821,0.000269,0.003365,0.000268,0.754576,0.667657,0.697049,0.762944,0.636817,0.008118,4.22276,269.449888,0.12152,0.995372
6951,64,0.002519,0.000266,0.003055,0.000265,0.759071,0.676794,0.704972,0.753099,0.627076,-0.001905,4.386212,232.431593,0.100987,0.996536
6951,128,0.002217,0.000247,0.002743,0.000247,0.765572,0.686041,0.713327,0.749322,0.623174,-0.003205,4.451695,196.734976,0.073999,0.997315
